Headline,Date,Author,Vertical,Description
"Kashmiri children nationalists, sometimes guided in wrong direction: Rajnath Singh","Jan 22, 2020",Reporter,DELHI,NEW DELHI: The children in Jammu and Kashmir are nationalists but sometimes they are guided in the wrong direction and such people…
"Four, including cop, arrested for smuggling 18 rifles from police station in Bengal","Jan 22, 2020",Reporter,CRIME,"JHARGRAM: Four persons, including a police officer, have been arrested for allegedly smuggling out 18 seized firearms from the…"
CBI registers four fresh cases against Chhota Rajan,"Jan 22, 2020",Reporter,DELHI,NEW DELHI: The CBI has taken over the probe into an attempt to kill a veteran journalist in 1997 and three other fresh cases…
Centre moves Supreme Court seeking 7-day deadline for hanging death row convicts,"Jan 22, 2020",Reporter,DELHIFEATURED,NEW DELHI: The Centre on Wednesday moved the Supreme Court for fixing a seven-day deadline for executing the death penalty of…
US Senate kicks off debate in Trump impeachment trial,"Jan 22, 2020",Reporter,FEATUREDWORLD,WASHINGTON: The historic impeachment trial of US president Donald Trump opened debate with fireworks Tuesday as Democrats accused…
Delhi polls: Kejriwal awaits turn with token no 45 as nomination deadline nears,"Jan 21, 2020",Reporter,DELHIFEATURED,"NEW DELHI: Chief Minister and Aam Aadmi Party (AAP) national convener Arvind Kejriwal, who reached the office of the Returning…"
"Won’t budge on Citizenship Act despite protests, declares Amit Shah at Lucknow rally","Jan 21, 2020",Reporter,FEATUREDOTHER STATES,"LUCKNOW: Attacking the Opposition for ""misleading"" people on the Citizenship (Amendment) Act, Union Home Minister Amit Shah on…"
"Basic demand on fee hike met, calls for JNU V-C’s removal now not reasonable: HRD Minister","Jan 21, 2020",Reporter,DELHI,NEW DELHI: Calls for the removal of JNU Vice-Chancellor M Jagadesh Kumar are now not reasonable as the basic demand of students on…
SC urges Parliament to rethink whether Speaker has power to disqualify legislators,"Jan 21, 2020",Reporter,DELHIFEATURED,NEW DELHI: The Supreme Court has asked the Parliament to rethink whether a Speaker of the House should have the power to take a…
Triumph Rocket 3R Motorcycles Deliveries Begin In India,"Jan 21, 2020",Reporter,AUTOMOTIVE,"Triumph Motorcycles has announced the start of deliveries of its flagship motorcycle, the Rocket 3R in the Indian market. The new …"
Xiaomi Mi Router 4C With Support For Up To 64 Devices Launched In India,"Jan 21, 2020",Reporter,TECHNOLOGY,"Xiaomi Mi Router 3C was launched in India back in 2017. As it has been over two years, the company has come up with a refreshed…"
"Samsung Galaxy Note 10 Lite With S-Pen Lands In India For Rs. 38,999 Onwards","Jan 21, 2020",Reporter,TECHNOLOGY,"Samsung Galaxy Note 10 Lite, a toned-down variant of the flagship device in the Note series launched back in 2019 has been…"
Healthy Dietary Tips For Marathon Runners,"Jan 21, 2020",Reporter,LIFESTYLE,Being a marathon runner is not an easy task. A trainee has to undergo a long training session without losing their strength and…
Ajay Devgn Begins Shooting For SS Rajamouli’s RRR; Actor-Director Duo Share A Happy Moment,"Jan 21, 2020",Reporter,ENTERTAINMENT,"SS Rajamouli took the nation by storm with his period films, Baahubali: The Beginning and Baahubali: The Conclusion. After the…"
Allu Arjun Thanks Fans for Ala Vaikunthapurramloo’s Success,"Jan 21, 2020",Reporter,ENTERTAINMENT,Allu Arjun is currently riding high on the success of his latest release Ala Vaikunthapurramloo. The film hit the screens on…
Novak Djokovic results and form ahead of second-round match with Tatsuma Ito,"Jan 21, 2020",Reporter,SPORTS,"Melbourne, January 21: Novak Djokovic heads into the Australian Open second round on the back of dropping a rare set in his first…"
Hardik Pandya begins rehabilitation under Rahul Dravid at NCA,"Jan 21, 2020",Reporter,SPORTS,"New Delhi, January 21: India all-rounder Hardik Pandya is set to head to the National Cricket Academy (NCA) and start his…"
"Depression, mental illness has trillion dollar-impact on world economy: Deepika at Davos","Jan 21, 2020",Reporter,WORLD,DAVOS: Actor Deepika Padukone on Monday said people must understand depression and anxiety are like any other illness and can be…
"Modi extracts wealth from India’s poor, gives it to ‘crony capitalist friends’:…","Jan 21, 2020",Reporter,DELHI,NEW DELHI: Congress leader Rahul Gandhi on Monday alleged that Prime Minister Narendra Modi extracts wealth from India's poor and…
"Assam Rifles jawan, who ‘detained’ Manipur IPS officer, summoned by women’s…","Jan 21, 2020",Reporter,NATIONAL,GUWAHATI: The Manipur State Commission for Women (MSCW) has summoned an Assam Rifles rifleman who had allegedly detained a lady…
"CAA unconstitutional, arguing against it in SC; assembly resolutions valid: Sibal","Jan 21, 2020",Reporter,DELHI,NEW DELHI: Senior Congress leader Kapil Sibal on Monday dismissed suggestions that there was a change in his stance on the amended…
2003: Rahul. 2020: Rahul again,"Jan 21, 2020",Reporter,SPORTS,"BENGALURU: One ball can change the course of a game, but it is not often that we see a major transformation taking place due to a…"
"Sensex drops over 200 points; Nifty tests 12,200","Jan 21, 2020",Reporter,BUSINESS,"MUMBAI: Market benchmark Sensex dropped over 200 points on Tuesday led by losses in index-heavyweights HDFC twins, Kotak Bank and…"
Rupee dips 6 paise against US dollar in early trade,"Jan 21, 2020",Reporter,BUSINESS,"MUMBAI: The rupee depreciated by 6 paise to 71.17 against the US dollar in opening trade on Tuesday, tracking a weak domestic…"
Air India to set up internal panel to address privatisation-related issues of employees: Source,"Jan 21, 2020",Reporter,BUSINESS,MUMBAI: Civil aviation minister Hardeep Singh Puri has asked disinvestment-bound Air India to set up an internal mechanism…
Demolition drive resumes near Island Grounds,"Jan 21, 2020",Reporter,OTHER STATES,"CHENNAI: After a brief halt for the Pongal weekend, demolition of encroachments at Indira Gandhi Nagar and Sathyavani Muthu Nagar…"
Indian-origin student killed in assault near pub in UK,"Jan 21, 2020",Reporter,CRIME,"LONDON: An Indian-origin student has been killed following an assault near a pub in Nottingham, a city the Midlands region of…"
"As trial nears, Donald Trump’s lawyers call impeachment case ‘flimsy’","Jan 21, 2020",Reporter,FEATUREDWORLD,"WASHINGTON: US President Donald Trump's legal team asserted Monday that he did ""absolutely nothing wrong,"" calling the impeachment…"
ISRO successfully completes three orbit-raising manoeuvres of GSAT-30,"Jan 21, 2020",Reporter,OTHER STATES,BENGALURU: The ISRO said it has successfully completed the three orbit-raising manoeuvres of communication satellite GSAT-30 on…
BMC sanitary inspector held for accepting Rs 1.5 lakh bribe,"Jan 21, 2020",Reporter,OTHER STATES,MUMBAI: A sanitary inspector of the Mumbai civic body was arrested on Monday for allegedly accepting a bribe of Rs 1.5 lakh for…
Alka Lamba’s immovable property more than doubled in the last 5 years: Poll affidavit,"Jan 21, 2020",Reporter,DELHI,"NEW DELHI: The value of Congress leader Alka Lamba's immovable property has more than doubled in the last five years, according to…"
"Delhi polls: Congress releases 2nd list of 7 candidates, Romesh Sabharwal pitted against Kejriwal","Jan 21, 2020",Reporter,DELHI,"NEW DELHI: The Congress on Monday released a list of seven more candidates for the Delhi Assembly polls, fielding Romesh Sabharwal…"
Will never accept imposition of Hindi: Puducherry CM,"Jan 21, 2020",Reporter,NATIONAL,PUDUCHERRY: Chief Minister V Narayanasamy on Monday said that the territorial administration would spare no efforts to protect…
Rahul Gandhi almost became PM two years before 2014 Lok Sabha polls,"Jan 21, 2020",Reporter,OTHER STATES,BENGALURU: Two years before the Congress suffered a humiliating defeat in the 2014 general elections and Narendra Modi landed…
"Fire breaks out at market in Surat, 40 fire trucks at spot: Report","Jan 21, 2020",Reporter,FEATUREDNATIONAL,"GUJARAT: A fire broke out at Raghuveer market in Surat. Up to forty fire tenders have reached the spot to control the situation,…"
Congress has ‘married’ Shiv Sena after Maharashtra polls: Asaduddin Owaisi,"Jan 20, 2020",Reporter,NATIONAL,"NIRMAL: Hyderabad MP Asaduddin Owaisi on Sunday mocked the Congress party saying that after the Maharashtra assembly elections, it…"
Difference of opinions emerge in Congress over Citizenship Act implementation,"Jan 20, 2020",Reporter,DELHI,NEW DELHI: Difference of opinions among Congress leaders have started coming to fore over the implementation of the Citizenship…
ED arrests Robert Vadra’s close aide CC Thampi in foreign assets case,"Jan 20, 2020",Reporter,DELHI,"NEW DELHI: In more troubles for Congress Chief Sonia Gandhi's son-in-law Robert Vadra, who is being probed for laundering money in…"
Bhopal’s titular queen Saleha Sultan passes away in Hyderabad,"Jan 20, 2020",Reporter,NATIONAL,"HYDERABAD: Princess Saleha Sultan, the titular queen of Bhopal, passed away due to a long term illness in Hyderabad. Her funeral…"
"Pariksha Pe Charcha 3.0: ‘Let’s talk without filter’, PM Modi tells students","Jan 20, 2020",Reporter,FEATUREDNATIONAL,NEW DELHI: Prime Minister Narendra Modi on Monday displayed his grasp on social media and said he wants his 'Pariksha Pe Charcha'…
"Malaysia sends back 150 trash cans, says ‘won’t be world’s waste bin’","Jan 20, 2020",Reporter,WORLD,"PENANG: Malaysia has sent back 150 containers of plastic waste to 13 mainly rich countries since the third quarter last year, with…"
Bajaj Chetak Electric Scooter Dealership Locations Revealed For Pune & Bangalore,"Jan 20, 2020",Reporter,AUTOMOTIVE,Bajaj Auto introduced the Chetak electric scooter in the Indian market recently. The new Bajaj Chetak electric scooter is offered…
Royal Enfield Himalayan BS6 Launched In India,"Jan 20, 2020",Reporter,AUTOMOTIVE,Royal Enfield has launched the Himalayan BS6 in the Indian market. The new BS6 Himalayan is offered with a starting price of Rs…
Apple Is Finally Giving The Feature Promised To iPhone 11 Users; Tests Option To Disable UWB,"Jan 20, 2020",Reporter,TECHNOLOGY,"Apple had promised a couple of features for the iPhone 11 users. Now, the company has begun testing the option to disable the…"
Black Shark Joins Hands With Tencent Games For Its Upcoming Gaming Smartphone,"Jan 20, 2020",Reporter,TECHNOLOGY,Black Shark the gaming smartphone manufacturer has announced that the company is joining hands with Tencent game and this…
14 Best Foods That Help Fight Inflammation,"Jan 20, 2020",Reporter,LIFESTYLE,"Studies have shown that certain foods can help fight inflammation. These foods are sources of phytonutrients, healthy fats, and…"
Karan Johar Calls Kabhi Khushi Kabhie Gham ‘Biggest Slap’ In His Face,"Jan 20, 2020",Reporter,ENTERTAINMENT,Karan Johar's 2001 film Kabhi Khushi Kabhie Gham (K3G) has achieved a cult status over the years and is still remembered for its…
Kamya Panjabi Shares A Glimpse Of Her Wedding Card,"Jan 20, 2020",Reporter,ENTERTAINMENT,"Ex-Bigg Boss contestant Kamya Panjabi is all set to get married to a Delhi-based businessman, Shalabh Dang on February 10, 2020,…"
"West Indies vs Ireland, 3rd T20I: Simmons powers Windies to series-saving T20 win","Jan 20, 2020",Reporter,SPORTS,"Basseterre, January 20: Lendl Simmons' unbeaten 91 guided West Indies to a crushing nine-wicket win against Ireland as their…"
Australian Open 2020: Serena Williams celebrates grand slam milestone,"Jan 20, 2020",Reporter,SPORTS,"Melbourne, January 20: Serena Williams claimed her 350th grand slam match victory after easing through the Australian Open first…"
Bengaluru ODI: Shoulder injury puts Shikhar Dhawan’s NZ tour in doubt,"Jan 20, 2020",Reporter,SPORTS,BENGALURU: India opener Shikhar Dhawan's tryst with injuries continued as he did not come out to bat after hurting his left…
"Market opens at record high; RIL, HDFC Bank top gainers","Jan 20, 2020",Reporter,BUSINESS,MUMBAI: Market benchmarks Sensex and Nifty opened at record peaks on Monday tracking strong quarterly results by index…
India’s richest 1 per cent hold four times more wealth than 70 per cent of poor: Oxfam,"Jan 20, 2020",Reporter,BUSINESS,DAVOS: India's richest 1 per cent hold more than four-times the wealth held by 953 million people who make up for the bottom 70…
"Come March, your debit, credit cards set for a sea change","Jan 20, 2020",Reporter,BUSINESS,"HYDERABAD:  From March 16 this year, your domestic and international debit and credit card will undergo some crucial changes. In…"
Indian school teacher undergoes treatment for Streptococcal infection in China,"Jan 20, 2020",Reporter,WORLD,BEIJING: A 45-year-old Indian school teacher in the Chinese city of Shenzhen is undergoing treatment for a Streptococcal infection…
